#  time  position  equilibrium_position  force_constant(kJ mol^-1 distance^-2)
      7038      2.38277             2.5                         500
      7058      2.42723             2.5                         500
      7078      2.46807             2.5                         500
      7098      2.50085             2.5                         500
      7118      2.55946             2.5                         500
      7138      2.58602             2.5                         500
      7158      2.49948             2.5                         500
      7178      2.53139             2.5                         500
      7198      2.56013             2.5                         500
      7218      2.50032             2.5                         500
      7238       2.5187             2.5                         500
      7258      2.59646             2.5                         500
      7278      2.50548             2.5                         500
      7298      2.48257             2.5                         500
      7318      2.50027             2.5                         500
      7338      2.57894             2.5                         500
      7358      2.50902             2.5                         500
      7378      2.55574             2.5                         500
      7398      2.46018             2.5                         500
      7418      2.50812             2.5                         500
      7438      2.52016             2.5                         500
      7458      2.49135             2.5                         500
      7478      2.55325             2.5                         500
      7498      2.55257             2.5                         500
      7518      2.58319             2.5                         500
      7538      2.51464             2.5                         500
      7558      2.50642             2.5                         500
      7578      2.54201             2.5                         500
      7598      2.48727             2.5                         500
      7618      2.48952             2.5                         500
      7638      2.49643             2.5                         500
      7658      2.45986             2.5                         500
      7678      2.35349             2.5                         500
      7698      2.40473             2.5                         500
      7718      2.55853             2.5                         500
      7738      2.55674             2.5                         500
      7758      2.52758             2.5                         500
      7778      2.53899             2.5                         500
      7798      2.44173             2.5                         500
      7818      2.57172             2.5                         500
      7838      2.49901             2.5                         500
      7858      2.53009             2.5                         500
      7878      2.42534             2.5                         500
      7898      2.49017             2.5                         500
      7918      2.49007             2.5                         500
      7938      2.49581             2.5                         500
      7958      2.48825             2.5                         500
      7978      2.43865             2.5                         500
      7998      2.53482             2.5                         500
      8018      2.50141             2.5                         500
      8038       2.5191             2.5                         500
      8058      2.47884             2.5                         500
      8078      2.47149             2.5                         500
      8098      2.43515             2.5                         500
      8118      2.49992             2.5                         500
      8138      2.41409             2.5                         500
      8158      2.44157             2.5                         500
      8178      2.40717             2.5                         500
      8198      2.58633             2.5                         500
      8218      2.52675             2.5                         500
      8238      2.46657             2.5                         500
      8258      2.42831             2.5                         500
      8278      2.41067             2.5                         500
      8298      2.31816             2.5                         500
      8318      2.44629             2.5                         500
      8338      2.43956             2.5                         500
      8358      2.36037             2.5                         500
      8378      2.45655             2.5                         500
      8398      2.57284             2.5                         500
      8418      2.48378             2.5                         500
      8438      2.50433             2.5                         500
      8458      2.59786             2.5                         500
      8478      2.49002             2.5                         500
      8498      2.65135             2.5                         500
      8518      2.39163             2.5                         500
      8538       2.4381             2.5                         500
      8558      2.50711             2.5                         500
      8578      2.44192             2.5                         500
      8598      2.56853             2.5                         500
      8618      2.34799             2.5                         500
      8638      2.41422             2.5                         500
      8658      2.37343             2.5                         500
      8678      2.51004             2.5                         500
      8698       2.4562             2.5                         500
      8718      2.52694             2.5                         500
      8738      2.53549             2.5                         500
      8758      2.52291             2.5                         500
      8778      2.44034             2.5                         500
      8798      2.45092             2.5                         500
      8818      2.61803             2.5                         500
      8838      2.55646             2.5                         500
      8858        2.502             2.5                         500
      8878      2.58784             2.5                         500
      8898      2.46701             2.5                         500
      8918      2.55611             2.5                         500
      8938      2.64666             2.5                         500
      8958      2.50255             2.5                         500
      8978      2.50221             2.5                         500
      8998      2.56016             2.5                         500
      9018      2.49601             2.5                         500
      9038      2.51232             2.5                         500
      9058      2.50287             2.5                         500
      9078      2.51047             2.5                         500
      9098      2.50104             2.5                         500
      9118       2.4046             2.5                         500
      9138      2.39117             2.5                         500
      9158      2.34751             2.5                         500
      9178      2.38923             2.5                         500
      9198      2.50384             2.5                         500
      9218      2.55438             2.5                         500
      9238      2.45871             2.5                         500
      9258      2.54985             2.5                         500
      9278      2.52426             2.5                         500
      9298      2.42819             2.5                         500
      9318       2.4636             2.5                         500
      9338      2.46618             2.5                         500
      9358       2.4962             2.5                         500
      9378      2.47321             2.5                         500
      9398      2.47643             2.5                         500
      9418      2.53079             2.5                         500
      9438      2.57706             2.5                         500
      9458       2.4635             2.5                         500
      9478      2.52448             2.5                         500
      9498      2.53465             2.5                         500
      9518      2.49232             2.5                         500
      9538      2.46027             2.5                         500
      9558      2.57089             2.5                         500
      9578      2.46756             2.5                         500
      9598      2.58866             2.5                         500
      9618      2.55613             2.5                         500
      9638      2.49483             2.5                         500
      9658      2.50077             2.5                         500
      9678      2.47583             2.5                         500
      9698      2.50598             2.5                         500
      9718      2.39239             2.5                         500
      9738       2.5266             2.5                         500
      9758      2.50535             2.5                         500
      9778      2.39346             2.5                         500
      9798      2.42763             2.5                         500
      9818      2.61546             2.5                         500
      9838       2.6408             2.5                         500
      9858      2.36974             2.5                         500
      9878      2.47227             2.5                         500
      9898      2.53081             2.5                         500
      9918      2.52731             2.5                         500
      9938      2.44299             2.5                         500
      9958      2.52426             2.5                         500
      9978      2.47549             2.5                         500
      9998      2.41251             2.5                         500
     10018         2.59             2.5                         500
     10038      2.41347             2.5                         500
     10058      2.55383             2.5                         500
     10078      2.37618             2.5                         500
     10098      2.52161             2.5                         500
     10118       2.5268             2.5                         500
     10138      2.53842             2.5                         500
     10158      2.49383             2.5                         500
     10178      2.58977             2.5                         500
     10198      2.49039             2.5                         500
     10218      2.44705             2.5                         500
     10238      2.58291             2.5                         500
     10258       2.5584             2.5                         500
     10278      2.44812             2.5                         500
     10298      2.47511             2.5                         500
     10318      2.40753             2.5                         500
     10338      2.42386             2.5                         500
     10358      2.49496             2.5                         500
     10378       2.4626             2.5                         500
     10398      2.54453             2.5                         500
     10418      2.48669             2.5                         500
     10438      2.52702             2.5                         500
     10458      2.42559             2.5                         500
     10478      2.44622             2.5                         500
     10498      2.45511             2.5                         500
     10518      2.50887             2.5                         500
     10538      2.54685             2.5                         500
     10558      2.46989             2.5                         500
     10578      2.51868             2.5                         500
     10598       2.5485             2.5                         500
     10618      2.53897             2.5                         500
     10638      2.50639             2.5                         500
     10658      2.60551             2.5                         500
     10678      2.52422             2.5                         500
     10698      2.51801             2.5                         500
     10718      2.54769             2.5                         500
     10738      2.43405             2.5                         500
     10758      2.48481             2.5                         500
     10778      2.47742             2.5                         500
     10798      2.51342             2.5                         500
     10818      2.52436             2.5                         500
     10838      2.49526             2.5                         500
     10858      2.37281             2.5                         500
     10878      2.57439             2.5                         500
     10898      2.48765             2.5                         500
     10918      2.47054             2.5                         500
     10938      2.49965             2.5                         500
     10958      2.44377             2.5                         500
     10978      2.48415             2.5                         500
     10998      2.47038             2.5                         500
     11018       2.4426             2.5                         500
     11038       2.4522             2.5                         500
     11058      2.58031             2.5                         500
     11078      2.46079             2.5                         500
     11098      2.49732             2.5                         500
     11118      2.48696             2.5                         500
     11138      2.50534             2.5                         500
     11158       2.5151             2.5                         500
     11178      2.53244             2.5                         500
     11198      2.45299             2.5                         500
     11218      2.53515             2.5                         500
     11238      2.39221             2.5                         500
     11258      2.56132             2.5                         500
     11278      2.48902             2.5                         500
     11298      2.50069             2.5                         500
     11318      2.47357             2.5                         500
     11338      2.51492             2.5                         500
     11358       2.4597             2.5                         500
     11378      2.43884             2.5                         500
     11398      2.51438             2.5                         500
     11418      2.44397             2.5                         500
     11438      2.41816             2.5                         500
     11458      2.41778             2.5                         500
     11478      2.53684             2.5                         500
     11498      2.50328             2.5                         500
     11518       2.5838             2.5                         500
     11538      2.46479             2.5                         500
     11558      2.48794             2.5                         500
     11578      2.49426             2.5                         500
     11598      2.42228             2.5                         500
     11618      2.44665             2.5                         500
     11638      2.48987             2.5                         500
     11658        2.507             2.5                         500
     11678      2.52009             2.5                         500
     11698      2.44035             2.5                         500
     11718      2.52741             2.5                         500
     11738      2.54163             2.5                         500
     11758      2.51261             2.5                         500
     11778      2.43509             2.5                         500
     11798      2.53621             2.5                         500
     11818      2.50008             2.5                         500
     11838      2.47863             2.5                         500
     11858      2.53066             2.5                         500
     11878      2.50116             2.5                         500
     11898      2.47437             2.5                         500
     11918      2.44564             2.5                         500
     11938      2.35947             2.5                         500
     11958      2.51693             2.5                         500
     11978      2.54796             2.5                         500
     11998      2.40628             2.5                         500
     12018      2.40081             2.5                         500
     12038      2.39507             2.5                         500
     12058      2.47032             2.5                         500
     12078       2.4427             2.5                         500
     12098      2.34891             2.5                         500
     12118      2.45443             2.5                         500
     12138      2.36743             2.5                         500
     12158      2.50742             2.5                         500
     12178      2.45358             2.5                         500
     12198      2.43936             2.5                         500
     12218      2.50137             2.5                         500
     12238      2.40453             2.5                         500
     12258      2.48286             2.5                         500
     12278      2.45313             2.5                         500
     12298      2.54815             2.5                         500
     12318      2.52228             2.5                         500
     12338      2.51472             2.5                         500
     12358      2.42373             2.5                         500
     12378      2.44422             2.5                         500
     12398      2.47514             2.5                         500
     12418      2.43233             2.5                         500
     12438      2.45302             2.5                         500
     12458      2.49231             2.5                         500
     12478      2.49664             2.5                         500
     12498      2.42175             2.5                         500
     12518      2.48294             2.5                         500
     12538      2.44199             2.5                         500
     12558      2.55163             2.5                         500
     12578       2.4768             2.5                         500
     12598      2.53558             2.5                         500
     12618      2.65112             2.5                         500
     12638       2.4638             2.5                         500
     12658      2.56188             2.5                         500
     12678       2.5926             2.5                         500
     12698      2.45981             2.5                         500
     12718      2.57119             2.5                         500
     12738      2.50963             2.5                         500
     12758      2.47664             2.5                         500
     12778      2.52294             2.5                         500
     12798      2.55559             2.5                         500
     12818      2.45322             2.5                         500
     12838      2.39761             2.5                         500
     12858      2.44573             2.5                         500
     12878      2.48434             2.5                         500
     12898      2.48246             2.5                         500
